"","Date","ASVABC","HEIGHT","LIBRARY","MALE","POV78","S","SF","SM","URBAN","WEIGHT"
"433",433-01-01,50.81293,64,1,0,1,14,11,11,1,124
"434",434-01-01,54.90222,68,1,0,1e-37,18,18,14,1,145
"435",435-01-01,37.45457,68,0,1,0,10,9,12,0,120
"436",436-01-01,57.08318,69,1,1,0,13,12,12,1,215
"437",437-01-01,51.63079,62,1,0,0,12,9,8,1,135
"438",438-01-01,42.0891,71,1,1,0,16,8,12,1,185
"439",439-01-01,55.17484,67,1,0,0,14,13,14,1,128
"440",440-01-01,46.99625,68,1,1,0,13,14,12,0,230
"441",441-01-01,47.5415,72,1,1,0,12,12,12,1,180
"442",442-01-01,61.44509,72,1,1,0,20,14,12,1,185
"443",443-01-01,64.17129,68,1,1,0,14,16,14,1,120
"444",444-01-01,62.80819,73,1,1,1,20,10,12,1,172
"445",445-01-01,60.082,66,0,0,0,13,12,12,0,165
"446",446-01-01,54.6296,62,1,0,0,12,12,12,1,125
"447",447-01-01,37.45457,64,1,0,0,12,10,7,0,149
"448",448-01-01,33.36528,67,1,0,1e-37,10,11,12,0,122
"449",449-01-01,44.54268,62,1,0,1,12,9,12,0,110
"450",450-01-01,41.27124,59,0,0,0,10,1,1,1,95
"451",451-01-01,48.35935,63,1,0,1e-37,12,12,12,0,165
"452",452-01-01,56.81056,71,1,1,1e-37,12,12,12,0,210
"453",453-01-01,43.99744,77,1,1,0,12,12,12,0,164
"454",454-01-01,56.53794,61,1,0,0,14,14,12,1,102
"455",455-01-01,48.35935,76,1,1,0,12,6,11,0,188
"456",456-01-01,55.17484,72,1,1,0,15,12,12,0,158
"457",457-01-01,58.44628,68,1,1,0,15,15,12,1,145
"458",458-01-01,49.72245,61,1,0,0,12,12,12,1,87
"459",459-01-01,45.90578,69,1,1,1,12,14,14,0,160
"460",460-01-01,55.72008,67,1,0,0,16,14,12,1,137
"461",461-01-01,47.5415,67,1,0,1,13,13,13,0,124
"462",462-01-01,48.08673,68,1,1,0,16,11,11,1,155
"463",463-01-01,58.99152,67,1,0,0,16,16,16,1,135
"464",464-01-01,30.63908,62,0,0,0,12,12,13,1,118
"465",465-01-01,55.72008,75,1,1,0,14,12,12,1,230
"466",466-01-01,64.71653,69,0,1,0,18,13,16,1,155
"467",467-01-01,62.53557,69,1,1,0,20,17,17,1,185
"468",468-01-01,47.5415,62,0,0,0,12,7,7,1,117
"469",469-01-01,39.36291,59,1,0,0,12,10,16,1,138
"470",470-01-01,29.00336,66,1,0,1,14,12,12,1,142
"471",471-01-01,54.6296,72,1,1,0,17,14,15,0,145
"472",472-01-01,58.17366,63,1,0,0,16,8,12,1,112
"473",473-01-01,63.89867,69,1,0,0,16,16,16,1,130
"474",474-01-01,61.44509,69,1,1,0,16,18,12,1,135
"475",475-01-01,60.62724,65,1,0,0,12,12,13,1,115
"476",476-01-01,47.5415,62,1,0,0,12,12,12,0,111
"477",477-01-01,42.90696,62,0,0,1,14,11,7,0,189
"478",478-01-01,64.71653,75,1,1,1,18,14,4,1,271
"479",479-01-01,48.90459,61,1,0,0,13,7,12,2,109
"480",480-01-01,52.72127,66,1,0,0,18,12,12,1,130
"481",481-01-01,56.26532,73,1,1,0,12,12,12,1,180
"482",482-01-01,62.26295,64,1,0,1,14,12,13,1,115
"483",483-01-01,54.35698,62,1,0,0,13,13,12,1,140
"484",484-01-01,45.36054,69,1,0,1,12,9,12,1,145
"485",485-01-01,43.72482,74,1,1,0,11,12,10,1,200
"486",486-01-01,33.6379,65,1,0,1,12,9,10,1,163
"487",487-01-01,57.62842,68,1,0,0,12,12,12,0,155
"488",488-01-01,66.07963,68,1,0,0,16,13,12,1,125
"489",489-01-01,42.63434,74,1,1,0,12,10,12,1,270
"490",490-01-01,46.45102,68,1,0,0,12,10,10,0,143
"491",491-01-01,53.53913,72,1,1,0,19,16,16,1,150
"492",492-01-01,41.27124,66,1,1,0,11,12,8,1,175
"493",493-01-01,30.9117,59,1,0,1,12,11,7,0,125
"494",494-01-01,55.9927,67,1,0,0,15,12,13,1,120
"495",495-01-01,52.44865,62,1,0,0,12,12,10,1,107
"496",496-01-01,56.81056,71,1,1,0,12,14,12,0,155
"497",497-01-01,40.45338,64,0,0,0,12,12,10,1,115
"498",498-01-01,54.08437,64,1,0,0,14,9,12,1,120
"499",499-01-01,61.44509,70,1,1,0,17,16,16,1,175
"500",500-01-01,50.54031,66,1,0,0,13,12,12,1,140
"501",501-01-01,57.08318,64,1,0,1e-37,17,12,12,1,125
"502",502-01-01,64.71653,69,1,0,0,12,8,11,1,180
"503",503-01-01,53.53913,70,1,1,0,18,17,16,1,155
"504",504-01-01,40.18077,63,1,0,0,12,12,12,1,100
"505",505-01-01,50.26769,61,1,0,0,12,8,12,1,110
"506",506-01-01,45.36054,64,0,0,0,14,12,10,2,140
"507",507-01-01,52.99389,60,1,0,0,16,14,17,1,140
"508",508-01-01,37.72719,72,1,1,1,12,8,16,1,160
"509",509-01-01,63.08081,71,1,0,0,16,12,12,0,120
"510",510-01-01,51.63079,64,1,0,0,20,16,12,1,110
"511",511-01-01,55.17484,63,1,0,0,14,12,12,0,95
"512",512-01-01,32.00218,68,1,1,0,12,12,11,1,170
"513",513-01-01,58.99152,61,1,0,0,19,17,16,1,100
"514",514-01-01,57.08318,72,1,1,0,13,16,12,1,200
"515",515-01-01,54.6296,70,1,1,0,13,12,12,1,170
"516",516-01-01,48.35935,69,0,0,1e-37,12,6,12,0,233
"517",517-01-01,65.26176,70,1,1,0,17,16,16,1,160
"518",518-01-01,56.26532,72,1,1,0,14,12,11,0,188
"519",519-01-01,64.17129,66,1,1,1,18,20,20,1,165
"520",520-01-01,57.62842,72,1,1,0,13,12,11,1,190
"521",521-01-01,57.62842,74,1,1,0,12,14,12,0,185
"522",522-01-01,50.81293,62,1,0,0,14,10,12,0,110
"523",523-01-01,60.35461,65,1,0,0,12,12,12,0,135
"524",524-01-01,53.53913,73,0,1,0,12,13,13,0,195
"525",525-01-01,54.35698,70,1,1,0,12,9,11,1,175
"526",526-01-01,41.81648,61,1,0,0,12,11,11,1,143
"527",527-01-01,57.90104,70,1,1,0,12,10,10,1,200
"528",528-01-01,61.71771,67,0,0,0,17,8,12,1,150
"529",529-01-01,56.53794,66,1,0,0,14,14,12,1,135
"530",530-01-01,57.62842,65,1,0,0,12,12,8,1,127
"531",531-01-01,53.53913,64,1,0,0,12,8,12,1,130
"532",532-01-01,52.72127,75,1,1,0,12,10,12,0,225
"533",533-01-01,61.17247,72,1,1,1,12,11,12,1,180
"534",534-01-01,64.98915,63,1,0,0,18,16,12,1,105
"535",535-01-01,47.26888,71,1,1,0,18,16,12,1,160
"536",536-01-01,58.17366,65,1,0,0,12,9,12,0,160
"537",537-01-01,33.36528,66,1,0,0,16,9,10,1,127
"538",538-01-01,37.99981,67,1,1,1,12,14,12,0,180
"539",539-01-01,54.6296,73,1,1,0,12,14,12,1,230
"540",540-01-01,37.72719,75,0,1,0,12,8,12,0,165
