age,asvabc,earnings,ethblack,ethhisp,ethwhite,female,male,married,s,urban
42,54.08437,27.07,0,0,1,1,0,0,17,1
43,56.53794,9,0,0,1,1,0,1,13,2
40,46.45102,9.35,0,0,1,1,0,0,13,1
43,62.26295,29.27,0,0,1,1,0,1,16,0
42,61.99033,36.24,0,0,1,1,0,1,16,1
38,33.36528,9,0,0,1,1,0,1,10,0
40,35.27361,11.5,0,1,0,1,0,0,12,1
42,44.8153,16.53,0,0,1,1,0,1,12,1
45,41.81648,17,0,0,1,1,0,0,12,1
38,61.71771,32,0,0,1,1,0,1,20,1
43,64.17129,15,0,0,1,1,0,1,16,1
39,49.72245,27.32,0,0,1,1,0,0,12,1
38,50.26769,11,1,0,0,1,0,0,13,1
42,46.72364,14.42,0,0,1,1,0,1,13,0
38,52.17603,14.32,0,0,1,1,0,0,12,1
39,61.99033,18.18,0,0,1,1,0,1,12,0
39,51.90341,25.3,0,0,1,1,0,0,16,1
